 *  00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
  +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
00| 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
01| 01 02 00 05 03 04 07 08 06 11 09 10 14 12 13 16 17 15 20 18 19 22 23 21 25 26 24 29 27 28 31 32 30 35 33 34 38 36 37 40 41 39 44 42 43 46 47 45 49 50 48 53 51 52 55 56 54 59 57 58
02| 02 00 01 04 05 03 08 06 07 10 11 09 13 14 12 17 15 16 19 20 18 23 21 22 26 24 25 28 29 27 32 30 31 34 35 33 37 38 36 41 39 40 43 44 42 47 45 46 50 48 49 52 53 51 56 54 55 58 59 57
03| 03 06 09 00 07 10 01 04 11 02 05 08 15 18 21 12 19 22 13 16 23 14 17 20 27 30 33 24 31 34 25 28 35 26 29 32 39 42 45 36 43 46 37 40 47 38 41 44 51 54 57 48 55 58 49 52 59 50 53 56
04| 04 08 10 02 06 11 00 05 09 01 03 07 17 19 23 13 20 21 14 15 22 12 16 18 28 32 34 26 30 35 24 29 33 25 27 31 41 43 47 37 44 45 38 39 46 36 40 42 52 56 58 50 54 59 48 53 57 49 51 55
05| 05 07 11 01 08 09 02 03 10 00 04 06 16 20 22 14 18 23 12 17 21 13 15 19 29 31 35 25 32 33 26 27 34 24 28 30 40 44 46 38 42 47 36 41 45 37 39 43 53 55 59 49 56 57 50 51 58 48 52 54
06| 06 09 03 10 00 07 04 11 01 08 02 05 21 15 18 19 22 12 23 13 16 17 20 14 30 33 27 34 24 31 28 35 25 32 26 29 45 39 42 43 46 36 47 37 40 41 44 38 54 57 51 58 48 55 52 59 49 56 50 53
07| 07 11 05 09 01 08 03 10 02 06 00 04 22 16 20 18 23 14 21 12 17 15 19 13 31 35 29 33 25 32 27 34 26 30 24 28 46 40 44 42 47 38 45 36 41 39 43 37 55 59 53 57 49 56 51 58 50 54 48 52
08| 08 10 04 11 02 06 05 09 00 07 01 03 23 17 19 20 21 13 22 14 15 16 18 12 32 34 28 35 26 30 29 33 24 31 25 27 47 41 43 44 45 37 46 38 39 40 42 36 56 58 52 59 50 54 53 57 48 55 49 51
09| 09 03 06 07 10 00 11 01 04 05 08 02 18 21 15 22 12 19 16 23 13 20 14 17 33 27 30 31 34 24 35 25 28 29 32 26 42 45 39 46 36 43 40 47 37 44 38 41 57 51 54 55 58 48 59 49 52 53 56 50
